N10_Grd_Prod_Pwr_Avg,M10_Grd_Prod_Pwr_Avg,N10_Amb_WindSpeed_Avg,M10_Amb_WindSpeed_Avg,N10_Amb_WindDir_Abs_Avg,WindSpeed_Mean,power_inferred_N10_windspeed,jensen_M10_windspeed,jensen_M10_power,power_inferred_M10_windspeed
826.6,671.2,6.8,6.2,226.9,5.454310344827587,6.741080360120041,6.818181818181818,855.671223741247,6.316605535178393
3450.4,3451.0,15.8,14.7,226.8,14.38103448275862,15.8,15.90909090909091,3448.0,14.7
3450.4,3450.9,16.3,15.4,226.9,14.544827586206896,16.3,16.414141414141415,3448.0,15.4
18.6,14.3,3.5,3.5,226.8,3.2704347826086955,3.126708902967656,3.0303030303030303,9.914304768256068,3.079193064354785
832.1,519.1,6.7,5.5,226.0,6.235652173913043,6.756918972990997,6.818181818181818,855.671223741247,5.828776258752917
3450.4,3259.8,13.8,10.9,226.2,11.092241379310344,13.8,13.88888888888889,3448.0,11.030176725575192
3450.4,3451.1,15.9,15.2,226.6,15.425,15.9,15.90909090909091,3448.0,15.2
3450.5,2140.0,12.8,9.2,226.5,8.946551724137931,12.8,12.878787878787879,3448.0,9.196065355118373
2536.1,1221.5,10.6,7.5,226.7,7.783620689655172,9.772590863621208,9.84848484848485,2588.5451817272424,7.643881293764588
610.7,434.5,6.3,5.6,226.9,4.879310344827586,6.132877625875292,6.0606060606060606,586.8066022007334,5.527842614204735
1201.0,429.7,7.8,4.9,226.0,6.281896551724137,7.6027009003001,7.575757575757576,1186.3924641547183,5.508836278759587
1154.7,613.2,7.6,6.0,226.7,6.156896551724138,7.510836945648549,7.575757575757576,1186.3924641547183,6.139213071023675
1002.6,462.1,7.3,5.3,226.0,5.632758620689654,7.168722907635878,7.070707070707071,958.3124374791598,5.626042014004668
1875.0,1067.2,9.2,7.0,226.4,6.490434782608696,8.793764588196066,8.83838383838384,1903.0396798932984,7.3144381460486825
2018.4,1157.0,9.2,6.9,226.3,6.687826086956522,9.018672890963654,9.090909090909092,2068.6068689563185,7.517172390796932
